id,theta,E,ra,dec
140282386500,13.28,54.7122,345.8,-23.36
181500279900,44.64,54.6697,315.89,-32.49
143335652100,60.7287,54.656,348.536,-18.3622
111466613100,42.58,54.6213,237.51,-5.73
121903902700,43.68,54.6203,188.3,6.9
103488476100,33.65,54.6007,180.15,-68.52
151356795400,59.34,54.5267,292.63,19.07
90474550100,20.87,54.5042,78.02,-15.97
131957902200,15.17,54.3668,3.31,-22.97
62841610900,54.44,54.3643,142.44,-12.91
171834426000,17.62,54.3613,218.69,-17.89
161028521500,31.25,54.3521,343.88,-52.8
160764574200,63.5509,54.1742,197.297,-36.2972
131637033100,44.53,54.1601,0.17,-68.06
63325109000,31.47,54.1227,51.13,-9.44
141923292800,62.3999,54.0447,260,-41.4267
150482150300,23.17,54.0289,9.67,-52.17
60551134100,37.99,53.9462,267.44,-60.56
160863851400,30.27,53.9439,130.72,-52.9
91972298600,51.58,53.9124,129.29,15.09
103206471500,29.05,53.8363,80.2,-64.06
102387071600,44.54,53.7706,325.5,-36.29
130314541100,67.3349,53.7409,313.64,-67.2426
63148304100,19.75,53.7034,167.51,-48.25
92503422500,70.6584,53.6937,211.456,29.9269
70640434000,60.3767,53.6399,12.6963,-44.1911
181624817300,13.25,53.5951,210.94,-48.32
93356276700,64.2419,53.5927,170.055,-43.8055
93173340200,10.51,53.5842,290.54,-39.11
180180912400,16.51,53.5646,251.37,-25.57
70511454800,39.07,53.5042,331.72,2.82
151132499800,21.34,53.5038,82.36,-53.35
160740277600,62.8885,53.4784,205.927,-50.6448
160865570000,45.16,53.4716,175.19,-80.43
70882286100,12,53.4593,38.83,-46.29
122456089000,49.1,53.4478,20.83,1.73
92037034500,18.2,53.2244,324.58,-43.98
110856421300,39.06,53.1707,203,3.85
101962739400,73.1841,53.1426,302.289,-68.0847
53076658200,27.45,53.1289,41.49,-26.09
142328148600,65.6117,53.0915,80.2739,27.4896
182068606200,71.2995,53.05,121.567,-1.59982
80121131200,37.26,52.9143,304.72,-15.67
170483454200,48.4,52.8791,101.41,-31.95
100097279500,35.65,52.857,205.16,-27.95
122064632100,46.96,52.8292,200.6,-77.54
82506446400,68.7432,52.8237,66.3921,4.00434
82025228100,18.05,52.7966,258.01,-19.1
60875050600,26.31,52.6457,115.49,-33.43
161305511900,46.98,52.59,147.75,-41.71
111624270300,72.3817,52.5878,131.491,12.9218
131457290800,54.59,52.524,1.91,-25.62
122314969800,29.24,52.515,250.62,-49.99
61187298600,57.11,52.4637,322.42,-2.24
153601910100,72.1689,52.4506,279.232,36.7036
141551720000,71.4509,52.4307,141.478,1.36042
141362166000,23.13,52.4219,63.55,-56.9
163546331000,57.73,52.3799,155.76,-3.38
133098259900,76.2106,52.3662,123.813,39.3425
42391987800,58.24,52.3467,33.86,-84.95
182035211200,47.09,52.3358,260.1,11.03
151080185000,63.2989,52.3077,277.023,9.24584
82983115700,70.3863,52.3009,347.757,-10.8785
102143146000,11.39,52.1657,179.96,-40.14
53064394700,39.94,52.1563,315.49,-0.34
171715624301,36.5,52.1223,282.38,-68.11
130620635800,38.22,52.0295,286.83,-73.12
110417719700,59.15,52.026,125.42,-59.31
81116945900,19.03,52.0201,235.12,-21.36
92782183800,21.15,51.9816,201.1,-53.34
171198600300,62.8608,51.9593,73.6978,-68.7189
